*******************************************************************************************************************
* This Online Resource contains electronic supplemental material (ESM) accompanying the following article submitted to the
* International Journal of Biometeorology - Special Issue (UTCI):
*
* Deriving the Operational Procedure for the Universal Thermal Climate Index UTCI
* by
* Peter Bröde, Dusan Fiala, Krzysztof Blazejczyk, Ingvar Holmér, Gerd Jendritzky, Bernhard Kampmann, Birger Tinz, George Havenith
*
* Corresponding author:
* Peter Bröde
* Leibniz Research Centre for Working Environment and Human Factors (IfADo)
* Ardeystr. 67, 44139 Dortmund, Germany
* Phone +49 231 1084 225
* Fax +49 231 1084 400
* e-mail: broede@ifado.de 
*
* ESM 4: This TAB-delimited file tabulates values of the Offset (= UTCI - Ta) in °C for different input values of:
*    Ta:	air temperature in°C (range: -50 °C to +50 °C)
*    Tr-Ta:	difference between mean radiant temperature (Tr) and air temperature in °C (-30 °C to +70 °C)
*    va:	wind speed in m/s measured 10 m above ground level (0.5 m/s to 30.3 m/s)
*    rH:	relative humidity in % (5% to 100%)
*    pa:	water vapour pressure in kPa (0 kPa to 5 kPa)
*******************************************************************************************************************
Ta	Tr-Ta	va	rH	pa	Offset
-27	-5	13.5	100	0.07	-33.38
-27	-5	20.2	5	0.00	-46.27
-27	-5	20.2	50	0.03	-46.27
-27	-5	20.2	100	0.07	-46.06
-27	-5	30.3	5	0.00	-55.94
-27	-5	30.3	50	0.03	-55.94
-27	-5	30.3	100	0.07	-55.94
-27	0	0.5	5	0.00	-0.08
-27	0	0.5	50	0.03	-0.08
-27	0	0.5	100	0.07	0.13
-27	0	0.8	5	0.00	-0.51
-27	0	0.8	50	0.03	-0.51
-27	0	0.8	100	0.07	-0.29
-27	0	1.2	5	0.00	-2.01
-27	0	1.2	50	0.03	-2.01
-27	0	1.2	100	0.07	-1.80
-27	0	1.8	5	0.00	-5.45
-27	0	1.8	50	0.03	-5.45
-27	0	1.8	100	0.07	-5.24
-27	0	2.7	5	0.00	-8.89
-27	0	2.7	50	0.03	-8.89
-27	0	2.7	100	0.07	-8.89
-27	0	4.0	5	0.00	-13.19
-27	0	4.0	50	0.03	-13.19
-27	0	4.0	100	0.07	-12.97
-27	0	6.0	5	0.00	-18.77
-27	0	6.0	50	0.03	-18.56
-27	0	6.0	100	0.07	-18.34
-27	0	9.0	5	0.00	-24.79
-27	0	9.0	50	0.03	-24.79
-27	0	9.0	100	0.07	-24.79
-27	0	13.5	5	0.00	-32.95
-27	0	13.5	50	0.03	-32.95
-27	0	13.5	100	0.07	-32.74
-27	0	20.2	5	0.00	-45.84
-27	0	20.2	50	0.03	-45.84
-27	0	20.2	100	0.07	-45.84
-27	0	30.3	5	0.00	-55.51
-27	0	30.3	50	0.03	-55.51
-27	0	30.3	100	0.07	-55.51
-27	5	0.5	5	0.00	1.64
-27	5	0.5	50	0.03	1.64
-27	5	0.5	100	0.07	1.64
-27	5	0.8	5	0.00	0.78
-27	5	0.8	50	0.03	0.78
-27	5	0.8	100	0.07	0.78
-27	5	1.2	5	0.00	-0.72
-27	5	1.2	50	0.03	-0.72
-27	5	1.2	100	0.07	-0.51
-27	5	1.8	5	0.00	-3.73
-27	5	1.8	50	0.03	-3.52
-27	5	1.8	100	0.07	-3.52
-27	5	2.7	5	0.00	-8.46
-27	5	2.7	50	0.03	-8.46
-27	5	2.7	100	0.07	-8.46
-27	5	4.0	5	0.00	-12.54
-27	5	4.0	50	0.03	-12.54
-27	5	4.0	100	0.07	-12.33
-27	5	6.0	5	0.00	-17.91
-27	5	6.0	50	0.03	-17.91
-27	5	6.0	100	0.07	-17.70
-27	5	9.0	5	0.00	-24.36
-27	5	9.0	50	0.03	-24.36
-27	5	9.0	100	0.07	-24.14
-27	5	13.5	5	0.00	-32.31
-27	5	13.5	50	0.03	-32.31
-27	5	13.5	100	0.07	-32.31
-27	5	20.2	5	0.00	-45.20
-27	5	20.2	50	0.03	-45.20
-27	5	20.2	100	0.07	-44.98
-27	5	30.3	5	0.00	-55.29
-27	5	30.3	50	0.03	-55.29
-27	5	30.3	100	0.07	-55.29
-27	10	0.5	5	0.00	3.36
-27	10	0.5	50	0.03	3.36
-27	10	0.5	100	0.07	3.57
-27	10	0.8	5	0.00	2.50
-27	10	0.8	50	0.03	2.71
-27	10	0.8	100	0.07	2.71
-27	10	1.2	5	0.00	0.56
-27	10	1.2	50	0.03	0.78
-27	10	1.2	100	0.07	0.78
-27	10	1.8	5	0.00	-2.01
-27	10	1.8	50	0.03	-2.01
-27	10	1.8	100	0.07	-2.01
-27	10	2.7	5	0.00	-7.60
-27	10	2.7	50	0.03	-7.60
-27	10	2.7	100	0.07	-7.60
-27	10	4.0	5	0.00	-11.68
-27	10	4.0	50	0.03	-11.68
-27	10	4.0	100	0.07	-11.47
-27	10	6.0	5	0.00	-17.27
-27	10	6.0	50	0.03	-17.27
-27	10	6.0	100	0.07	-17.05
-27	10	9.0	5	0.00	-23.93
-27	10	9.0	50	0.03	-23.93
-27	10	9.0	100	0.07	-23.71
-27	10	13.5	5	0.00	-31.88
-27	10	13.5	50	0.03	-31.88
-27	10	13.5	100	0.07	-31.88
-27	10	20.2	5	0.00	-44.34
-27	10	20.2	50	0.03	-44.12
-27	10	20.2	100	0.07	-43.91
-27	10	30.3	5	0.00	-55.08
-27	10	30.3	50	0.03	-54.87
-27	10	30.3	100	0.07	-54.87
-27	15	0.5	5	0.00	5.29
-27	15	0.5	50	0.03	5.29
-27	15	0.5	100	0.07	5.94
-27	15	0.8	5	0.00	4.43
-27	15	0.8	50	0.03	4.43
-27	15	0.8	100	0.07	4.43
-27	15	1.2	5	0.00	2.50
-27	15	1.2	50	0.03	2.71
-27	15	1.2	100	0.07	2.71
-27	15	1.8	5	0.00	-0.94
-27	15	1.8	50	0.03	-0.94
-27	15	1.8	100	0.07	-0.94
-27	15	2.7	5	0.00	-6.53
-27	15	2.7	50	0.03	-6.53
-27	15	2.7	100	0.07	-6.31
-27	15	4.0	5	0.00	-10.61
-27	15	4.0	50	0.03	-10.61
-27	15	4.0	100	0.07	-10.61
-27	15	6.0	5	0.00	-16.41
-27	15	6.0	50	0.03	-16.41
-27	15	6.0	100	0.07	-16.41
-27	15	9.0	5	0.00	-23.07
-27	15	9.0	50	0.03	-22.85
-27	15	9.0	100	0.07	-22.85
-27	15	13.5	5	0.00	-31.45
-27	15	13.5	50	0.03	-31.23
-27	15	13.5	100	0.07	-31.23
-27	15	20.2	5	0.00	-43.69
-27	15	20.2	50	0.03	-43.69
-27	15	20.2	100	0.07	-43.48
-27	15	30.3	5	0.00	-54.65
-27	15	30.3	50	0.03	-54.65
-27	15	30.3	100	0.07	-54.65
-27	20	0.5	5	0.00	7.87
-27	20	0.5	50	0.03	7.87
-27	20	0.5	100	0.07	8.30
-27	20	0.8	5	0.00	7.22
-27	20	0.8	50	0.03	7.22
-27	20	0.8	100	0.07	7.44
-27	20	1.2	5	0.00	4.65
-27	20	1.2	50	0.03	4.65
-27	20	1.2	100	0.07	4.65
-27	20	1.8	5	0.00	0.13
-27	20	1.8	50	0.03	0.13
-27	20	1.8	100	0.07	0.13
-27	20	2.7	5	0.00	-5.67
-27	20	2.7	50	0.03	-5.67
-27	20	2.7	100	0.07	-5.45
-27	20	4.0	5	0.00	-9.96
-27	20	4.0	50	0.03	-9.96
-27	20	4.0	100	0.07	-9.96
-27	20	6.0	5	0.00	-15.55
-27	20	6.0	50	0.03	-15.55
-27	20	6.0	100	0.07	-15.33
-27	20	9.0	5	0.00	-22.42
-27	20	9.0	50	0.03	-22.42
-27	20	9.0	100	0.07	-22.42
-27	20	13.5	5	0.00	-30.59
-27	20	13.5	50	0.03	-30.59
-27	20	13.5	100	0.07	-30.59
-27	20	20.2	5	0.00	-42.62
-27	20	20.2	50	0.03	-42.62
-27	20	20.2	100	0.07	-42.62
-27	20	30.3	5	0.00	-54.01
-27	20	30.3	50	0.03	-54.01
-27	20	30.3	100	0.07	-54.01
-27	25	0.5	5	0.00	10.23
-27	25	0.5	50	0.03	10.23
-27	25	0.5	100	0.07	10.45
-27	25	0.8	5	0.00	9.59
-27	25	0.8	50	0.03	9.59
-27	25	0.8	100	0.07	9.59
-27	25	1.2	5	0.00	7.44
-27	25	1.2	50	0.03	7.44
-27	25	1.2	100	0.07	7.44
-27	25	1.8	5	0.00	2.28
-27	25	1.8	50	0.03	2.50
-27	25	1.8	100	0.07	2.50
-27	25	2.7	5	0.00	-4.16
-27	25	2.7	50	0.03	-4.16
-27	25	2.7	100	0.07	-3.95
-27	25	4.0	5	0.00	-9.32
-27	25	4.0	50	0.03	-9.10
-27	25	4.0	100	0.07	-9.10
-27	25	6.0	5	0.00	-14.90
-27	25	6.0	50	0.03	-14.69
-27	25	6.0	100	0.07	-14.69
-27	25	9.0	5	0.00	-21.78
-27	25	9.0	50	0.03	-21.78
-27	25	9.0	100	0.07	-21.56
-27	25	13.5	5	0.00	-30.37
-27	25	13.5	50	0.03	-30.37
-27	25	13.5	100	0.07	-30.16
-27	25	20.2	5	0.00	-41.33
-27	25	20.2	50	0.03	-41.33
-27	25	20.2	100	0.07	-41.33
-27	25	30.3	5	0.00	-53.79
-27	25	30.3	50	0.03	-53.58
-27	25	30.3	100	0.07	-53.36
-27	30	0.5	5	0.00	12.38
-27	30	0.5	50	0.03	12.38
-27	30	0.5	100	0.07	12.38
-27	30	0.8	5	0.00	11.31
-27	30	0.8	50	0.03	11.31
-27	30	0.8	100	0.07	11.31
-27	30	1.2	5	0.00	9.59
-27	30	1.2	50	0.03	9.59
-27	30	1.2	100	0.07	9.59
-27	30	1.8	5	0.00	4.43
-27	30	1.8	50	0.03	4.43
-27	30	1.8	100	0.07	4.43
-27	30	2.7	5	0.00	-3.09
-27	30	2.7	50	0.03	-3.09
-27	30	2.7	100	0.07	-2.87
-27	30	4.0	5	0.00	-8.89
-27	30	4.0	50	0.03	-8.89
-27	30	4.0	100	0.07	-8.67
-27	30	6.0	5	0.00	-14.04
-27	30	6.0	50	0.03	-13.83
-27	30	6.0	100	0.07	-13.83
-27	30	9.0	5	0.00	-20.92
-27	30	9.0	50	0.03	-20.92
-27	30	9.0	100	0.07	-20.71
-27	30	13.5	5	0.00	-29.30
-27	30	13.5	50	0.03	-29.30
-27	30	13.5	100	0.07	-29.30
-27	30	20.2	5	0.00	-40.90
-27	30	20.2	50	0.03	-40.69
-27	30	20.2	100	0.07	-40.69
-27	30	30.3	5	0.00	-52.93
-27	30	30.3	50	0.03	-52.93
-27	30	30.3	100	0.07	-52.93
-27	35	0.5	5	0.00	14.10
-27	35	0.5	50	0.03	14.10
-27	35	0.5	100	0.07	14.53
-27	35	0.8	5	0.00	13.67
-27	35	0.8	50	0.03	13.67
-27	35	0.8	100	0.07	13.67
-27	35	1.2	5	0.00	11.52
-27	35	1.2	50	0.03	11.52
-27	35	1.2	100	0.07	11.74
-27	35	1.8	5	0.00	7.01
-27	35	1.8	50	0.03	7.01
-27	35	1.8	100	0.07	7.22
-27	35	2.7	5	0.00	-1.37
-27	35	2.7	50	0.03	-1.37
-27	35	2.7	100	0.07	-1.37
-27	35	4.0	5	0.00	-8.24
-27	35	4.0	50	0.03	-8.24
-27	35	4.0	100	0.07	-7.81
-27	35	6.0	5	0.00	-12.97
-27	35	6.0	50	0.03	-12.97
-27	35	6.0	100	0.07	-12.76
-27	35	9.0	5	0.00	-20.28
-27	35	9.0	50	0.03	-20.28
-27	35	9.0	100	0.07	-20.28
-27	35	13.5	5	0.00	-28.87
-27	35	13.5	50	0.03	-28.65
-27	35	13.5	100	0.07	-28.65
-27	35	20.2	5	0.00	-39.61
-27	35	20.2	50	0.03	-39.40
-27	35	20.2	100	0.07	-38.97
-27	35	30.3	5	0.00	-52.50
-27	35	30.3	50	0.03	-52.50
-27	35	30.3	100	0.07	-52.50
-27	40	0.5	5	0.00	15.82
-27	40	0.5	50	0.03	16.03
-27	40	0.5	100	0.07	16.03
-27	40	0.8	5	0.00	15.39
-27	40	0.8	50	0.03	15.39
-27	40	0.8	100	0.07	15.60
-27	40	1.2	5	0.00	14.10
-27	40	1.2	50	0.03	14.10
-27	40	1.2	100	0.07	14.10
-27	40	1.8	5	0.00	9.37
-27	40	1.8	50	0.03	9.59
-27	40	1.8	100	0.07	9.59
-27	40	2.7	5	0.00	0.56
-27	40	2.7	50	0.03	0.56
-27	40	2.7	100	0.07	0.56
-27	40	4.0	5	0.00	-6.96
-27	40	4.0	50	0.03	-6.96
-27	40	4.0	100	0.07	-6.96
-27	40	6.0	5	0.00	-11.90
-27	40	6.0	50	0.03	-11.90
-27	40	6.0	100	0.07	-11.90
-27	40	9.0	5	0.00	-19.42
-27	40	9.0	50	0.03	-18.99
-27	40	9.0	100	0.07	-18.99
-27	40	13.5	5	0.00	-28.01
-27	40	13.5	50	0.03	-28.01
-27	40	13.5	100	0.07	-27.79
-27	40	20.2	5	0.00	-38.75
-27	40	20.2	50	0.03	-38.54
-27	40	20.2	100	0.07	-38.54
-27	40	30.3	5	0.00	-51.86
-27	40	30.3	50	0.03	-51.64
-27	40	30.3	100	0.07	-51.64
-27	45	0.5	5	0.00	17.75
-27	45	0.5	50	0.03	17.75
-27	45	0.5	100	0.07	17.75
-27	45	0.8	5	0.00	17.11
-27	45	0.8	50	0.03	17.11
-27	45	0.8	100	0.07	17.11
-27	45	1.2	5	0.00	15.60
-27	45	1.2	50	0.03	15.82
-27	45	1.2	100	0.07	15.82
-27	45	1.8	5	0.00	11.95
-27	45	1.8	50	0.03	12.38
-27	45	1.8	100	0.07	12.38
-27	45	2.7	5	0.00	2.93
-27	45	2.7	50	0.03	2.93
-27	45	2.7	100	0.07	2.93
-27	45	4.0	5	0.00	-5.67
-27	45	4.0	50	0.03	-5.67
-27	45	4.0	100	0.07	-5.67
-27	45	6.0	5	0.00	-10.82
-27	45	6.0	50	0.03	-10.61
-27	45	6.0	100	0.07	-10.61
-27	45	9.0	5	0.00	-18.34
-27	45	9.0	50	0.03	-18.34
-27	45	9.0	100	0.07	-18.34
-27	45	13.5	5	0.00	-27.15
-27	45	13.5	50	0.03	-27.15
-27	45	13.5	100	0.07	-27.15
-27	45	20.2	5	0.00	-37.89
-27	45	20.2	50	0.03	-37.89
-27	45	20.2	100	0.07	-37.89
-27	45	30.3	5	0.00	-51.43
-27	45	30.3	50	0.03	-51.21
-27	45	30.3	100	0.07	-51.21
-27	50	0.5	5	0.00	19.47
-27	50	0.5	50	0.03	19.69
-27	50	0.5	100	0.07	19.69
-27	50	0.8	5	0.00	18.61
-27	50	0.8	50	0.03	18.61
-27	50	0.8	100	0.07	18.61
-27	50	1.2	5	0.00	17.75
-27	50	1.2	50	0.03	17.75
-27	50	1.2	100	0.07	17.75
-27	50	1.8	5	0.00	14.31
-27	50	1.8	50	0.03	14.31
-27	50	1.8	100	0.07	14.31
-27	50	2.7	5	0.00	4.65
-27	50	2.7	50	0.03	4.65
-27	50	2.7	100	0.07	5.29
-27	50	4.0	5	0.00	-4.16
-27	50	4.0	50	0.03	-4.16
-27	50	4.0	100	0.07	-4.16
-27	50	6.0	5	0.00	-9.75
-27	50	6.0	50	0.03	-9.75
-27	50	6.0	100	0.07	-9.75
-27	50	9.0	5	0.00	-17.48
-27	50	9.0	50	0.03	-17.48
-27	50	9.0	100	0.07	-17.48
-27	50	13.5	5	0.00	-26.51
-27	50	13.5	50	0.03	-26.51
-27	50	13.5	100	0.07	-26.51
-27	50	20.2	5	0.00	-37.03
-27	50	20.2	50	0.03	-37.03
-27	50	20.2	100	0.07	-36.82
-27	50	30.3	5	0.00	-50.57
-27	50	30.3	50	0.03	-50.35
-27	50	30.3	100	0.07	-50.35
-27	55	0.5	5	0.00	21.19
-27	55	0.5	50	0.03	21.40
-27	55	0.5	100	0.07	21.40
-27	55	0.8	5	0.00	20.33
-27	55	0.8	50	0.03	20.97
-27	55	0.8	100	0.07	20.97
-27	55	1.2	5	0.00	19.26
-27	55	1.2	50	0.03	19.47
-27	55	1.2	100	0.07	19.47
-27	55	1.8	5	0.00	16.03
-27	55	1.8	50	0.03	16.25
-27	55	1.8	100	0.07	16.25
-27	55	2.7	5	0.00	8.08
-27	55	2.7	50	0.03	8.30
-27	55	2.7	100	0.07	8.30
-27	55	4.0	5	0.00	-2.23
-27	55	4.0	50	0.03	-2.23
-27	55	4.0	100	0.07	-2.01
-27	55	6.0	5	0.00	-9.32
-27	55	6.0	50	0.03	-9.10
-27	55	6.0	100	0.07	-9.10
-27	55	9.0	5	0.00	-16.41
-27	55	9.0	50	0.03	-16.41
-27	55	9.0	100	0.07	-16.41
-27	55	13.5	5	0.00	-25.65
-27	55	13.5	50	0.03	-25.65
-27	55	13.5	100	0.07	-25.65
-27	55	20.2	5	0.00	-36.39
-27	55	20.2	50	0.03	-36.39
-27	55	20.2	100	0.07	-36.39
-27	55	30.3	5	0.00	-49.92
-27	55	30.3	50	0.03	-49.71
-27	55	30.3	100	0.07	-49.71
-27	60	0.5	5	0.00	22.69
-27	60	0.5	50	0.03	22.69
-27	60	0.5	100	0.07	22.69
-27	60	0.8	5	0.00	22.48
-27	60	0.8	50	0.03	22.48
-27	60	0.8	100	0.07	22.48
-27	60	1.2	5	0.00	20.97
-27	60	1.2	50	0.03	21.19
-27	60	1.2	100	0.07	21.19
-27	60	1.8	5	0.00	17.97
-27	60	1.8	50	0.03	17.97
-27	60	1.8	100	0.07	17.97
-27	60	2.7	5	0.00	11.31
-27	60	2.7	50	0.03	11.31
-27	60	2.7	100	0.07	11.31
-27	60	4.0	5	0.00	-0.29
-27	60	4.0	50	0.03	-0.29
-27	60	4.0	100	0.07	-0.29
-27	60	6.0	5	0.00	-8.67
-27	60	6.0	50	0.03	-8.67
-27	60	6.0	100	0.07	-8.46
-27	60	9.0	5	0.00	-15.55
-27	60	9.0	50	0.03	-15.33
-27	60	9.0	100	0.07	-15.33
-27	60	13.5	5	0.00	-24.79
-27	60	13.5	50	0.03	-24.79
-27	60	13.5	100	0.07	-24.57
-27	60	20.2	5	0.00	-35.31
-27	60	20.2	50	0.03	-35.31
-27	60	20.2	100	0.07	-35.31
-27	60	30.3	5	0.00	-49.28
-27	60	30.3	50	0.03	-49.28
-27	60	30.3	100	0.07	-49.28
-27	65	0.5	5	0.00	24.63
-27	65	0.5	50	0.03	24.63
-27	65	0.5	100	0.07	24.84
-27	65	0.8	5	0.00	23.98
-27	65	0.8	50	0.03	24.41
-27	65	0.8	100	0.07	24.63
-27	65	1.2	5	0.00	22.91
-27	65	1.2	50	0.03	22.91
-27	65	1.2	100	0.07	22.91
-27	65	1.8	5	0.00	19.90
-27	65	1.8	50	0.03	19.90
-27	65	1.8	100	0.07	19.90
-27	65	2.7	5	0.00	13.46
-27	65	2.7	50	0.03	13.67
-27	65	2.7	100	0.07	13.67
-27	65	4.0	5	0.00	1.64
-27	65	4.0	50	0.03	1.64
-27	65	4.0	100	0.07	2.28
-27	65	6.0	5	0.00	-7.17
-27	65	6.0	50	0.03	-7.17
-27	65	6.0	100	0.07	-7.17
-27	65	9.0	5	0.00	-14.26
-27	65	9.0	50	0.03	-14.26
-27	65	9.0	100	0.07	-14.26
-27	65	13.5	5	0.00	-23.50
-27	65	13.5	50	0.03	-23.50
-27	65	13.5	100	0.07	-23.50
-27	65	20.2	5	0.00	-34.67
-27	65	20.2	50	0.03	-34.46
-27	65	20.2	100	0.07	-34.46
-27	65	30.3	5	0.00	-48.42
-27	65	30.3	50	0.03	-48.42
-27	65	30.3	100	0.07	-48.42
-27	70	0.5	5	0.00	26.56
-27	70	0.5	50	0.03	26.56
-27	70	0.5	100	0.07	26.78
-27	70	0.8	5	0.00	25.92
-27	70	0.8	50	0.03	26.13
-27	70	0.8	100	0.07	26.13
-27	70	1.2	5	0.00	24.84
-27	70	1.2	50	0.03	24.84
-27	70	1.2	100	0.07	24.84
-27	70	1.8	5	0.00	21.83
-27	70	1.8	50	0.03	21.83
-27	70	1.8	100	0.07	21.83
-27	70	2.7	5	0.00	15.39
-27	70	2.7	50	0.03	15.39
-27	70	2.7	100	0.07	15.39
-27	70	4.0	5	0.00	4.43
-27	70	4.0	50	0.03	4.43
-27	70	4.0	100	0.07	4.43
-27	70	6.0	5	0.00	-5.67
-27	70	6.0	50	0.03	-5.67
-27	70	6.0	100	0.07	-5.67
-27	70	9.0	5	0.00	-12.97
-27	70	9.0	50	0.03	-12.97
-27	70	9.0	100	0.07	-12.97
-27	70	13.5	5	0.00	-22.85
-27	70	13.5	50	0.03	-22.64
-27	70	13.5	100	0.07	-22.64
-27	70	20.2	5	0.00	-33.60
-27	70	20.2	50	0.03	-33.60
-27	70	20.2	100	0.07	-33.60
-27	70	30.3	5	0.00	-47.56
-27	70	30.3	50	0.03	-47.56
-27	70	30.3	100	0.07	-47.56
-26	-30	0.5	5	0.00	-6.67
-26	-30	0.5	50	0.04	-6.45
-26	-30	0.5	100	0.07	-6.45
-26	-30	0.8	5	0.00	-6.88
-26	-30	0.8	50	0.04	-6.88
-26	-30	0.8	100	0.07	-6.67
-26	-30	1.2	5	0.00	-7.74
-26	-30	1.2	50	0.04	-7.74
-26	-30	1.2	100	0.07	-7.53
-26	-30	1.8	5	0.00	-9.67
-26	-30	1.8	50	0.04	-9.67
-26	-30	1.8	100	0.07	-9.67
-26	-30	2.7	5	0.00	-13.11
-26	-30	2.7	50	0.04	-12.90
-26	-30	2.7	100	0.07	-12.90
-26	-30	4.0	5	0.00	-17.19
-26	-30	4.0	50	0.04	-17.19
-26	-30	4.0	100	0.07	-16.76
-26	-30	6.0	5	0.00	-22.13
-26	-30	6.0	50	0.04	-22.13
-26	-30	6.0	100	0.07	-22.13
-26	-30	9.0	5	0.00	-27.94
-26	-30	9.0	50	0.04	-27.94
-26	-30	9.0	100	0.07	-27.94
-26	-30	13.5	5	0.00	-35.67
-26	-30	13.5	50	0.04	-35.67
-26	-30	13.5	100	0.07	-35.46
-26	-30	20.2	5	0.00	-48.13
-26	-30	20.2	50	0.04	-47.92
-26	-30	20.2	100	0.07	-47.92
-26	-30	30.3	5	0.00	-57.58
-26	-30	30.3	50	0.04	-57.58
-26	-30	30.3	100	0.07	-57.58
-26	-25	0.5	5	0.00	-5.81
-26	-25	0.5	50	0.04	-5.81
-26	-25	0.5	100	0.07	-5.59
-26	-25	0.8	5	0.00	-6.45
-26	-25	0.8	50	0.04	-6.45
-26	-25	0.8	100	0.07	-6.45
-26	-25	1.2	5	0.00	-7.10
-26	-25	1.2	50	0.04	-7.10
-26	-25	1.2	100	0.07	-7.10
-26	-25	1.8	5	0.00	-9.46
-26	-25	1.8	50	0.04	-9.24
-26	-25	1.8	100	0.07	-9.24
-26	-25	2.7	5	0.00	-12.68
-26	-25	2.7	50	0.04	-12.68
-26	-25	2.7	100	0.07	-12.47
-26	-25	4.0	5	0.00	-16.76
-26	-25	4.0	50	0.04	-16.55
-26	-25	4.0	100	0.07	-16.33
-26	-25	6.0	5	0.00	-21.71
-26	-25	6.0	50	0.04	-21.49
-26	-25	6.0	100	0.07	-21.28
-26	-25	9.0	5	0.00	-27.51
-26	-25	9.0	50	0.04	-27.51
-26	-25	9.0	100	0.07	-27.51
-26	-25	13.5	5	0.00	-35.24
-26	-25	13.5	50	0.04	-35.24
-26	-25	13.5	100	0.07	-35.24
-26	-25	20.2	5	0.00	-47.70
-26	-25	20.2	50	0.04	-47.70
-26	-25	20.2	100	0.07	-47.70
-26	-25	30.3	5	0.00	-57.37
-26	-25	30.3	50	0.04	-57.37
-26	-25	30.3	100	0.07	-57.15
-26	-20	0.5	5	0.00	-4.73
-26	-20	0.5	50	0.04	-4.73
-26	-20	0.5	100	0.07	-4.73
-26	-20	0.8	5	0.00	-5.16
-26	-20	0.8	50	0.04	-5.16
-26	-20	0.8	100	0.07	-5.16
-26	-20	1.2	5	0.00	-6.67
-26	-20	1.2	50	0.04	-6.67
-26	-20	1.2	100	0.07	-6.45
-26	-20	1.8	5	0.00	-8.38
-26	-20	1.8	50	0.04	-8.38
-26	-20	1.8	100	0.07	-8.38
-26	-20	2.7	5	0.00	-12.04
-26	-20	2.7	50	0.04	-11.82
-26	-20	2.7	100	0.07	-11.61
-26	-20	4.0	5	0.00	-16.12
-26	-20	4.0	50	0.04	-16.12
-26	-20	4.0	100	0.07	-15.90
-26	-20	6.0	5	0.00	-21.06
-26	-20	6.0	50	0.04	-21.06
-26	-20	6.0	100	0.07	-21.06
-26	-20	9.0	5	0.00	-27.08
-26	-20	9.0	50	0.04	-27.08
-26	-20	9.0	100	0.07	-27.08
-26	-20	13.5	5	0.00	-34.81
-26	-20	13.5	50	0.04	-34.81
-26	-20	13.5	100	0.07	-34.81
-26	-20	20.2	5	0.00	-47.49
-26	-20	20.2	50	0.04	-47.49
-26	-20	20.2	100	0.07	-47.49
-26	-20	30.3	5	0.00	-57.15
-26	-20	30.3	50	0.04	-56.94
-26	-20	30.3	100	0.07	-56.94
-26	-15	0.5	5	0.00	-3.87
-26	-15	0.5	50	0.04	-3.66
-26	-15	0.5	100	0.07	-3.01
-26	-15	0.8	5	0.00	-4.30
-26	-15	0.8	50	0.04	-4.30
-26	-15	0.8	100	0.07	-4.30
-26	-15	1.2	5	0.00	-5.38
-26	-15	1.2	50	0.04	-5.38
-26	-15	1.2	100	0.07	-5.38
-26	-15	1.8	5	0.00	-7.96
-26	-15	1.8	50	0.04	-7.74
-26	-15	1.8	100	0.07	-7.74
-26	-15	2.7	5	0.00	-10.96
-26	-15	2.7	50	0.04	-10.96
-26	-15	2.7	100	0.07	-10.96
-26	-15	4.0	5	0.00	-15.47
-26	-15	4.0	50	0.04	-15.47
-26	-15	4.0	100	0.07	-15.26
-26	-15	6.0	5	0.00	-20.63
-26	-15	6.0	50	0.04	-20.42
-26	-15	6.0	100	0.07	-20.42
-26	-15	9.0	5	0.00	-26.86
-26	-15	9.0	50	0.04	-26.86
-26	-15	9.0	100	0.07	-26.86
-26	-15	13.5	5	0.00	-34.38
-26	-15	13.5	50	0.04	-34.17
-26	-15	13.5	100	0.07	-34.17
-26	-15	20.2	5	0.00	-47.27
-26	-15	20.2	50	0.04	-47.27
-26	-15	20.2	100	0.07	-47.06
-26	-15	30.3	5	0.00	-56.72
-26	-15	30.3	50	0.04	-56.72
-26	-15	30.3	100	0.07	-56.72
-26	-10	0.5	5	0.00	-2.80
-26	-10	0.5	50	0.04	-2.80
-26	-10	0.5	100	0.07	-2.58
-26	-10	0.8	5	0.00	-3.01
-26	-10	0.8	50	0.04	-3.01
-26	-10	0.8	100	0.07	-3.01
-26	-10	1.2	5	0.00	-4.30
-26	-10	1.2	50	0.04	-4.30
-26	-10	1.2	100	0.07	-4.30
-26	-10	1.8	5	0.00	-7.10
-26	-10	1.8	50	0.04	-7.10
-26	-10	1.8	100	0.07	-7.10
-26	-10	2.7	5	0.00	-10.32
-26	-10	2.7	50	0.04	-10.32
-26	-10	2.7	100	0.07	-10.32
-26	-10	4.0	5	0.00	-15.04
-26	-10	4.0	50	0.04	-14.83
-26	-10	4.0	100	0.07	-14.83
-26	-10	6.0	5	0.00	-19.99
-26	-10	6.0	50	0.04	-19.99
-26	-10	6.0	100	0.07	-19.99
-26	-10	9.0	5	0.00	-26.22
-26	-10	9.0	50	0.04	-26.00
-26	-10	9.0	100	0.07	-26.00
-26	-10	13.5	5	0.00	-34.17
-26	-10	13.5	50	0.04	-34.17
-26	-10	13.5	100	0.07	-33.95
-26	-10	20.2	5	0.00	-46.84
-26	-10	20.2	50	0.04	-46.84
-26	-10	20.2	100	0.07	-46.84
-26	-10	30.3	5	0.00	-56.29
-26	-10	30.3	50	0.04	-56.29
-26	-10	30.3	100	0.07	-56.29
-26	-5	0.5	5	0.00	-1.51
-26	-5	0.5	50	0.04	-1.29
-26	-5	0.5	100	0.07	-1.08
-26	-5	0.8	5	0.00	-1.72
-26	-5	0.8	50	0.04	-1.72
